avg_io,experiment,avg_io_std,dataset
1100.8431062918903,multi,110.56863940137931,deep
818.8468610730955,multi,30.58236279475352,fashion-mnist
953.3199284135172,multi,32.21654148159698,glove
983.109344843317,multi,31.158519677961383,glove1M
790.6245920623223,multi,8.611211174055349,mnist
1063.8086114327823,multi,111.45741031083948,sift
366.6452280701754,offset,13.47171137297386,deep
440.3349824561403,offset,4.260320524705,fashion-mnist
338.12266666666665,offset,4.070097504849775,glove
342.33821052631583,offset,3.94960045947357,glove1M
493.6850526315789,offset,2.4568318856054194,mnist
366.7084210526316,offset,17.82792072305348,sift
868.0414429589079,single,84.80482112833946,deep
724.7974172719936,single,5.330314943231152,fashion-mnist
852.6914412043374,single,12.166736821697867,glove
859.3063480366354,single,5.099206946450455,glove1M
726.6182405165456,single,5.665609265643567,mnist
806.3585289679617,single,144.658207718493,sift
